timestamp, total_detections, data_0, data_1, data_2, data_3, data_4, data_5, data_6, data_7, data_8, data_9
2019-02-14 23:52:50, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
2019-02-14 23:53:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 23:53:10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 23:53:20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-15 00:36:43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-15 00:36:53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-15 00:37:03, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
2019-02-14 18:27:10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
2019-02-14 18:27:20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:27:30, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
2019-02-14 18:27:40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:27:50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:28:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:28:10, 3, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0
2019-02-14 18:28:20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:28:30, 7, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1
2019-02-14 18:28:40, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
2019-02-14 18:28:50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:29:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:29:11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:29:21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:29:31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:29:56, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:30:06, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:30:17, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
2019-02-14 18:30:27, 8, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1
2019-02-14 18:30:37, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
2019-02-14 18:30:47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:30:57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:31:57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:32:07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:32:17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:32:28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:32:38, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
2019-02-14 18:32:48, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
2019-02-14 18:32:58, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2019-02-14 18:33:08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:33:18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:33:28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:33:38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:33:48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:33:58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:34:59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2019-02-14 18:35:09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
